main(50, 0.9, 0.4)
138: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
139: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
140: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
141: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
142: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
143: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
144: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
145: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
146: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
147: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
148: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
149: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
150: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
151: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
152: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
153: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
154: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
155: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
156: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.43340389857890999000 0.25896395477522005000 0.45471579515640326000 0.4547157951564033100020.57155351515248800000
157: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.43340389857890999000 0.25896395477522005000 0.45471579515640326000 0.4547157951564033100020.57155351515248800000
158: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.48738214315888473000 0.13849085849514775000 0.49235035200202193000 0.4923503520020219800034.40594152021286300000
